368.2946 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.2946 	EXP 	text: autoDraw = True
368.3113 	EXP 	Instructions_text: autoDraw = True
368.3113 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.3113 	EXP 	text: autoDraw = True
368.3279 	EXP 	Instructions_text: autoDraw = True
368.3279 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.3279 	EXP 	text: autoDraw = True
368.3447 	EXP 	Instructions_text: autoDraw = True
368.3447 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.3447 	EXP 	text: autoDraw = True
368.3613 	EXP 	Instructions_text: autoDraw = True
368.3613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.3613 	EXP 	text: autoDraw = True
368.3779 	EXP 	Instructions_text: autoDraw = True
368.3779 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.3779 	EXP 	text: autoDraw = True
368.3946 	EXP 	Instructions_text: autoDraw = True
368.3946 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.3946 	EXP 	text: autoDraw = True
368.4113 	EXP 	Instructions_text: autoDraw = True
368.4113 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.4113 	EXP 	text: autoDraw = True
368.4280 	EXP 	Instructions_text: autoDraw = True
