1791.6960 	EXP 	text: autoDraw = True
1791.7126 	EXP 	Instructions_text: autoDraw = True
1791.7126 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.7126 	EXP 	text: autoDraw = True
1791.7294 	EXP 	Instructions_text: autoDraw = True
1791.7294 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.7294 	EXP 	text: autoDraw = True
1791.7468 	EXP 	Instructions_text: autoDraw = True
1791.7468 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.7468 	EXP 	text: autoDraw = True
1791.7627 	EXP 	Instructions_text: autoDraw = True
1791.7627 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.7627 	EXP 	text: autoDraw = True
1791.7793 	EXP 	Instructions_text: autoDraw = True
1791.7793 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.7793 	EXP 	text: autoDraw = True
1791.7964 	EXP 	Instructions_text: autoDraw = True
1791.7964 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.7964 	EXP 	text: autoDraw = True
1791.8128 	EXP 	Instructions_text: autoDraw = True
1791.8128 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.8128 	EXP 	text: autoDraw = True
1791.8294 	EXP 	Instructions_text: autoDraw = True
1791.8294 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.8294 	EXP 	text: autoDraw = True
1791.8461 	EXP 	Instructions_text: autoDraw = True
1791.8461 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.8461 	EXP 	text: autoDraw = True
1791.8633 	EXP 	Instructions_text: autoDraw = True
