4239.9066 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.9066 	EXP 	text: autoDraw = True
4239.9229 	EXP 	Instructions_text: autoDraw = True
4239.9229 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.9229 	EXP 	text: autoDraw = True
4239.9397 	EXP 	Instructions_text: autoDraw = True
4239.9397 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.9397 	EXP 	text: autoDraw = True
4239.9564 	EXP 	Instructions_text: autoDraw = True
4239.9564 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.9564 	EXP 	text: autoDraw = True
4239.9729 	EXP 	Instructions_text: autoDraw = True
4239.9729 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.9729 	EXP 	text: autoDraw = True
4239.9897 	EXP 	Instructions_text: autoDraw = True
4239.9897 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4239.9897 	EXP 	text: autoDraw = True
4240.0064 	EXP 	Instructions_text: autoDraw = True
4240.0064 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.0064 	EXP 	text: autoDraw = True
4240.0229 	EXP 	Instructions_text: autoDraw = True
4240.0229 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.0229 	EXP 	text: autoDraw = True
4240.0396 	EXP 	Instructions_text: autoDraw = True
4240.0396 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.0396 	EXP 	text: autoDraw = True
4240.0563 	EXP 	Instructions_text: autoDraw = True
